ID,Name,Elements,Keywords,Cost,Power,Rarity,Text
card001,Gustling Wisp,🜁,Gust,1,1,common,"When this enters, Gust a target card."
card002,Infernal Sprinter,🜂,Inferno,2,2,uncommon,"Inferno - Deal 1 extra damage when this attacks."
card003,Brilliant Watcher,"🜃,🜄","Brilliance,Steadfast",3,3,rare,"Brilliance - Place the top card of your deck under your Life Cards."
card004,Storm Caller,🜁,Gust,4,3,uncommon,"When this enters, Gust all enemy cards."
card005,Flame Dancer,🜂,"Inferno,Quick",3,2,rare,"Quick - Can attack immediately. Inferno - Deal 2 extra damage."
card006,Earth Guardian,🜃,Steadfast,5,6,common,"Steadfast - Cannot be targeted by spells."
card007,Void Walker,🜄,Void,6,4,legendary,"Void - Remove target card from the game permanently."
card008,Lightning Bolt,🜁,,2,0,common,"Deal 3 damage to any target."
card009,Healing Potion,🜃,,1,0,common,"Restore 3 life to target player."
card010,Mystic Shield,🜄,Steadfast,2,0,uncommon,"Target card gains Steadfast until end of turn."
